id,rotulo,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
1284,VERDADEIRO,0.013518518518518518,0.0,0.0,0.4,0.39680255795363717,0.1788888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.2244444444444445,0.19666666666666668,0.3145907473309609,0.0,0.0,0.23851851851851855,0.0,0.0,0.0,0.0,0.24000000000000002,0.0,0.2833333333333333,0.0,0.0,0.0
1285,VERDADEIRO,0.030416666666666665,0.0,0.0,0.4,0.16805755395683455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1475,0.20569395017793596,0.0,0.0,0.1788888888888889,0.0,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1287,VERDADEIRO,0.05510265700483091,0.0,0.0,0.4,0.29113231154207075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809782608695652,0.35246789416679564,0.0,0.0,0.19444444444444445,0.0,0.14492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,VERDADEIRO,0.030115511551155112,0.0,0.0,0.4,0.2495904266685662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14603960396039603,0.31027800288925694,0.0,0.0,0.17711771177117713,0.0,0.26402640264026406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,VERDADEIRO,0.03621031746031746,0.0,0.0,0.4,0.4376498800959233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17559523809523808,0.5271987798678189,0.3333333333333333,0.15873015873015872,0.0,0.0,0.31746031746031744,0.23511904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,VERDADEIRO,0.027037037037037037,0.0,0.0,0.4,0.39680255795363717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145907473309609,0.37333333333333335,0.17777777777777778,0.23851851851851855,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,VERDADEIRO,0.009564989517819705,0.0,0.0,0.4,0.39140762861408984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2783018867924528,0.39266769623312975,0.0,0.25157232704402516,0.16876310272536688,0.0,0.0,0.37264150943396224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,VERDADEIRO,0.014910130718954247,0.0,0.0,0.4,0.9602553251516435,0.5919117647058824,0.4338235294117647,0.0,0.0,0.0,0.5784313725490196,0.0,0.7426470588235295,0.8676470588235294,1.0,0.0,0.19607843137254902,0.2630718954248366,0.0,0.5882352941176471,0.29044117647058826,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0
1308,VERDADEIRO,0.011265432098765432,0.0,0.0,0.4,0.39680255795363717,0.14907407407407408,0.1638888888888889,0.0,0.0,0.0,0.0,0.44722222222222224,0.0,0.49166666666666664,0.3629893238434164,0.0,0.14814814814814817,0.0,0.0,0.14814814814814817,0.6583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,VERDADEIRO,0.012215528781793841,0.0,0.0,0.4,0.23833463349802095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414054795695237,0.0,0.16064257028112452,0.4310575635876841,0.0,0.6425702811244981,0.0,0.24096385542168675,0.43373493975903615,0.0,0.5120481927710844,0.0,0.0,0.0
1311,VERDADEIRO,0.03850210970464135,0.0,0.0,0.4,0.1506845156785964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18670886075949367,0.2925356998062976,0.0,0.0,0.0,0.0,0.16877637130801687,0.0,0.0,0.22784810126582278,0.0,0.2689873417721519,0.0,0.0,0.0
1312,VERDADEIRO,0.008972468043264502,0.0,0.0,0.4,0.2804057638844677,0.1187315634218289,0.13053097345132744,0.0,0.0,0.0,0.17404129793510323,0.0,0.1489675516224189,0.0,0.2644789468711618,0.0,0.2359882005899705,0.1583087512291052,0.3495575221238938,0.0,0.5243362831858407,0.17699115044247787,0.1592920353982301,0.0,0.18805309734513273,0.0,0.0,0.415929203539823
1316,VERDADEIRO,0.013701201201201201,0.0,0.0,0.4,0.5204485060600169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19932432432432434,0.6147927286717323,0.0,0.0,0.24174174174174176,0.0,0.7207207207207208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317,VERDADEIRO,0.01067251461988304,0.0,0.0,0.4,0.8181749337372208,0.4236842105263158,0.15526315789473683,0.0,0.0,0.0,0.0,0.4236842105263158,0.35438596491228075,0.46578947368421053,0.5667728038958607,0.29473684210526313,0.2807017543859649,0.5649122807017544,0.0,0.4210526315789474,0.41578947368421054,0.42105263157894735,0.18947368421052632,0.0,0.2236842105263158,0.0,0.0,0.0
1318,VERDADEIRO,0.012834036568213783,0.0,0.0,0.2,0.1506845156785964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18670886075949367,0.15469165277715213,0.35443037974683544,0.0,0.0,0.0,0.5063291139240507,0.5,0.0,0.22784810126582278,0.0,0.2689873417721519,0.0,0.0,0.0
1319,VERDADEIRO,0.05555555555555555,0.0,0.0,0.2,0.17745803357314152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32652464290937455,0.0,0.182648401826484,0.0,0.0,0.0,0.2705479452054794,0.0,0.2465753424657534,0.0,0.2910958904109589,0.0,0.0,0.0
1323,VERDADEIRO,0.024431057563587683,0.0,0.0,0.2,0.13498598711392332,0.16164658634538154,0.0,0.0,0.0,0.0,0.0,0.0,0.20281124497991973,0.177710843373494,0.1414054795695237,0.0,0.16064257028112452,0.21552878179384205,0.0,0.0,0.0,0.24096385542168675,0.43373493975903615,0.0,0.5120481927710844,0.0,0.0,0.0
1325,VERDADEIRO,0.034961685823754786,0.3908045977011494,0.0,0.4,0.613715923812674,0.30842911877394635,0.0,0.0,0.0,0.0,0.0,0.0,0.3869731800766284,0.3390804597701149,0.3796784881580562,0.3218390804597701,0.45977011494252873,0.20561941251596424,0.4540229885057471,0.6130268199233717,0.22701149425287356,0.22988505747126436,0.20689655172413793,0.3505747126436782,0.0,0.0,0.0,0.0
