id,rotulo,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
1013,FALSO,0.038182262366058414,0.0,0.0,0.75,0.5756548116085276,0.3127336902874578,0.08800880088008801,0.0,0.0,0.0,0.08800880088008801,0.0,0.3127336902874578,0.23252181814739797,0.5994294344688705,0.18316831683168316,0.0,0.3292079207920792,0.0,0.28492849284928495,0.0,0.0,0.13437057991513437,0.0,0.24339933993399343,0.0,0.0,0.0
310,FALSO,0.05048641937208661,0.0,0.0,0.875,0.4355191896982095,0.43158127837269256,0.09307737056428157,0.0,0.0,0.0,0.09307737056428157,0.0,0.43158127837269256,0.34887329442503484,0.44078071654422235,0.0,0.17068062827225133,0.46422338568935434,0.0,0.15066899360093078,0.1842931937172775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046,FALSO,0.03863947909527075,0.0,0.0,0.5,0.2517211703958691,0.6676737160120846,1.0,0.0,0.0,0.0,1.0,0.0,0.6676737160120846,0.7811304971319313,0.8008028545941124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16964285714285718,0.0,0.30729166666666674,0.0,0.0,0.0
722,FALSO,0.03541769609640245,0.0,0.0,0.125,0.4683184565504543,0.4311810581044052,0.082687338501292,0.0,0.0,0.0,0.082687338501292,0.0,0.4311810581044052,0.6478278269376139,0.4929817646204593,0.0,0.1516279069767442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,FALSO,0.02350522114260372,0.0,0.0,0.5,0.4718031791029665,0.4797870809955401,0.09959539371304078,0.0,0.0,0.0,0.09959539371304078,0.0,0.4797870809955401,0.44113630155695155,0.447219744275944,0.10364145658263306,0.18263305322128853,0.06209150326797386,0.0,0.16122004357298475,0.09859943977591037,0.18627450980392157,0.07603041216486596,0.07603041216486596,0.0,0.0,0.0,0.0
556,FALSO,0.023768311241737443,0.0,0.0,0.5,0.5472009101782433,0.5092426647549797,0.30131826741996237,0.0,0.0,0.0,0.30131826741996237,0.0,0.5092426647549797,0.35672618854716914,0.7077820952841742,0.0,0.0,0.18785310734463279,0.0,0.24387947269303203,0.14915254237288136,0.2817796610169492,0.11501210653753027,0.0,0.20833333333333334,0.0,0.0,0.0
974,FALSO,0.06144150344549072,0.0,0.0,0.5,0.6054806064804565,0.8343257574807887,0.36883356385431076,0.0,0.0,0.0,0.36883356385431076,0.0,0.8343257574807887,0.6763961505200606,0.4217040949655946,0.3070539419087137,0.13526970954356848,0.1839557399723375,0.0,0.23881973259566622,0.14605809128630706,0.13796680497925312,0.0,0.0,0.0,0.0,0.0,0.0
74,FALSO,0.034305537995390746,0.0,0.0,0.625,0.5554534364921544,0.48783230184104265,0.05753326141675657,0.0,0.0,0.0,0.0,0.1930960086299892,0.4346444529179988,0.4039428985130595,0.29199541555880815,0.598705501618123,0.4220064724919094,0.2869471413160734,0.0,0.6519237684286229,0.11391585760517801,0.215210355987055,0.2635228848821082,0.0,0.4773462783171521,0.0,0.0,0.0
157,FALSO,0.09014670216692151,0.0,0.0,0.5,0.2241658943466172,0.4543341854520102,0.6837606837606838,0.0,0.0,0.0,0.6837606837606838,0.0,0.4543341854520102,0.2937932048830711,0.5773004872023606,0.1778846153846154,0.3134615384615385,0.10657051282051283,0.49198717948717957,0.2767094017094017,0.0,0.15985576923076925,0.521978021978022,0.1304945054945055,0.7091346153846155,0.0,0.5336538461538461,0.0
301,FALSO,0.0786611834589902,0.0,0.0,0.5,0.4905335628227195,0.2910372608257804,0.0,0.0,0.0,0.0,0.0,0.0,0.2910372608257804,0.21128107074569785,0.5210110020814749,0.0,0.21733333333333335,0.14777777777777779,0.0,0.19185185185185186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,FALSO,0.041849776236745566,0.0,0.0,0.875,0.5058584222297902,0.446305959901126,0.09506833036244801,0.0,0.0,0.0,0.09506833036244801,0.0,0.446305959901126,0.277246653919694,0.38474051529621656,0.0,0.17433155080213902,0.4741532976827094,0.5472370766488414,0.7694592988710636,0.0,0.17780748663101603,0.2902979373567609,0.0,0.5258467023172906,0.0,0.0,0.6363636363636364
63,FALSO,0.025009586555271406,0.0,0.0,0.5,0.839809837209126,0.6844164659222486,0.3915810083210965,0.0,0.3744493392070485,0.0,0.31326480665687717,0.0,0.6120153852296472,0.5255178106653415,0.8562681998058689,0.0,0.7180616740088106,0.29295154185022027,0.0,0.126774351443955,0.3101321585903084,0.14647577092511013,0.11957205789804912,0.11957205789804912,0.0,0.0,0.0,0.0
1679,FALSO,0.05945586976671509,0.0,0.0,0.625,0.8716434947785221,0.6799148443247812,0.18422567645365576,0.0,0.0,0.0,0.09211283822682788,0.30915371329879104,0.5947591691060218,0.5919912026075154,0.7021118265057569,0.1917098445595855,0.3378238341968912,0.11485319516407601,0.0,0.1491076568796776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,FALSO,0.00845327850125657,0.0,0.0,0.5,0.5691038737510339,0.3123814755234694,0.07696007696007696,0.0,0.0,0.0,0.07696007696007696,0.0,0.3123814755234694,0.16252390057361377,0.6149271483794232,0.3203463203463203,0.14112554112554113,0.19191919191919193,0.0,0.24915824915824916,0.0,0.14393939393939395,0.2350030921459493,0.0,0.4256854256854257,0.8095238095238095,0.0,0.0
609,FALSO,0.01897478445943509,0.0,0.0,0.875,0.44939841388795104,0.2936584801746195,0.0,0.0,0.0,0.0,0.0,0.0,0.2936584801746195,0.36781724866659965,0.5119489177895675,0.354066985645933,0.15598086124401914,0.10606060606060606,0.0,0.6884635832004253,0.3368421052631579,0.1590909090909091,0.12987012987012989,0.12987012987012989,0.0,0.0,0.0,0.0
80,FALSO,0.03902753699149297,0.0,0.0,0.375,0.7126223983569333,0.4797870809955401,0.2987861811391223,0.0,0.0,0.16713352007469653,0.19919078742608157,0.33426704014939307,0.3877139979859012,0.35099699535646006,0.5557362998723129,0.5182072829131653,0.45658263305322133,0.37254901960784315,0.0,0.644880174291939,0.09859943977591037,0.18627450980392157,0.30412164865946384,0.0,0.5508870214752568,0.0,0.0,1.0
