id,MAIUSCULAS_x,EXCLAMA_x,ASPAS_x,POL_ABSOLUTO_x,funct,pronoun_x,ppron_x,i_x,we_x,you_x,shehe_x,they_x,ipron_x,article_x,prep_x,auxverb_x,adverb_x,conj_x,negate_x,verb_x,adj_x,interrog_x,affect_x,posemo_x,negemo_x,anx_x,anger_x,sad_x,MAIUSCULAS_y,EXCLAMA_y,ASPAS_y,POL_ABSOLUTO_y,pronoun_y,ppron_y,i_y,we_y,you_y,shehe_y,they_y,ipron_y,article_y,prep_y,auxverb_y,adverb_y,conj_y,negate_y,verb_y,adj_y,interrog_y,affect_y,posemo_y,negemo_y,anx_y,anger_y,sad_y,rotulo
1272,0.08727272727272728,0.0,0.0,0.2,0.21005025125628132,0.22,0.22,0.0,0.0,0.0,0.2933333333333334,0.0,0.264,0.22,0.14759493670886076,0.0,0.3066666666666667,0.20444444444444448,0.0,0.31199999999999994,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26490066225165565,0.456140350877193,0.0,0.0,0.0,0.0,0.3421052631578947,0.3355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
2223,0.07272727272727274,0.0,0.0,0.4,0.3132328308207705,0.2444444444444445,0.3666666666666665,0.0,0.0,0.0,0.4888888888888889,0.0,0.2933333333333333,0.12222222222222225,0.051054852320675095,0.0,0.7666666666666667,0.34074074074074073,0.0,0.5199999999999999,0.0,0.3833333333333333,0.21666666666666667,0.0,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966887417218543,0.4814814814814815,0.0,0.0,0.0,0.0,0.0,0.11805555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
44,0.3896103896103897,0.0,0.0,0.8,0.2605886575735821,0.19642857142857145,0.29464285714285715,0.0,0.0,0.4464285714285714,0.3928571428571429,0.20535714285714285,0.07857142857142857,0.13095238095238096,0.18896925858951166,0.20535714285714285,0.1369047619047619,0.09126984126984124,0.3571428571428571,0.09285714285714283,0.0,0.0,0.2321428571428571,0.3214285714285714,0.12244897959183673,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.2666666666666667,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.0,0.2280701754385965,0.0,0.0,0.17543859649122806,0.0,0.0,0.3355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSO
1310,0.057416267942583726,0.0,0.0,0.4,0.1774662787622322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12091938707528313,0.0,0.20175438596491227,0.2690058479532164,0.0,0.5473684210526315,0.0,0.1513157894736842,0.3421052631578947,0.0,0.3609022556390977,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666667,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.4267844002943341,0.4814814814814815,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
626,0.20454545454545456,0.0,0.0,0.4,0.2211055276381909,0.11458333333333336,0.171875,0.0,0.0,0.0,0.2291666666666667,0.0,0.1375,0.11458333333333336,0.15664556962025314,0.359375,0.2395833333333333,0.0,0.0,0.16249999999999998,0.375,0.0,0.203125,0.0,0.21428571428571427,0.0,0.5,0.0,0.0,0.0,0.0,0.4666666666666667,0.5,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.3394039735099338,0.3611111111111111,0.8125,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSO
1298,0.09917355371900828,0.0,0.0,0.4,0.19597989949748745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17721518987341767,0.26136363636363635,0.17424242424242425,0.11616161616161615,0.0,0.3545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6225165562913907,0.3851851851851852,0.5777777777777777,0.0,0.22222222222222224,0.0,0.2888888888888889,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
2103,0.09917355371900828,0.0,0.0,0.4,0.19597989949748745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.34177215189873417,0.0,0.0,0.0,0.0,0.11818181818181815,0.2727272727272727,0.0,0.14772727272727273,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3708609271523179,0.674074074074074,0.0,0.3111111111111111,0.0,0.0,0.0,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
1517,0.3776223776223777,0.0,0.0,0.4,0.114804793196753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06962025316455696,0.22115384615384612,0.0,0.09829059829059827,0.0,0.1,0.2307692307692308,0.0,0.25,0.0,0.2637362637362637,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5336969224776003,0.5098039215686275,0.2549019607843137,0.0,0.0,0.0,0.12745098039215685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
2036,0.19480519480519484,0.0,0.0,0.4,0.2605886575735821,0.2619047619047619,0.29464285714285715,0.0,0.6428571428571428,0.4464285714285714,0.2619047619047619,0.20535714285714285,0.15714285714285714,0.19642857142857145,0.3182640144665461,0.0,0.0,0.0,0.0,0.09285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966887417218543,0.5055555555555555,0.0,0.0,0.0,0.0,0.10833333333333334,0.10625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERDADEIRO
1325,0.16363636363636366,0.0,0.0,0.4,0.3869346733668341,0.18333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.22000000000000008,0.18333333333333326,0.29240506329113924,0.28750000000000003,0.575,0.12777777777777774,0.5,0.5199999999999999,0.30000000000000004,0.14375000000000002,0.1625,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5450840550178297,0.4444444444444445,0.6666666666666666,0.0,0.7692307692307693,0.0,0.3333333333333333,0.0,0.0,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,0.0,VERDADEIRO
