id,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
1013,0.12834224598930485,0.0,0.0,0.2,0.26987880579367424,0.10784313725490197,0.16176470588235295,0.0,0.0,0.0,0.21568627450980396,0.0,0.12941176470588234,0.21568627450980396,0.35629188384214444,0.3382352941176471,0.0,0.0,0.0,0.30588235294117644,0.0,0.0,0.19117647058823528,0.0,0.20168067226890754,0.0,0.0,0.0
310,0.2479338842975207,0.0,0.0,0.4,0.09547738693467336,0.16666666666666669,0.125,0.0,0.0,0.0,0.16666666666666669,0.0,0.2,0.08333333333333334,0.17721518987341767,0.0,0.17424242424242425,0.11616161616161615,0.0,0.11818181818181815,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046,0.19834710743801656,0.0,0.0,0.4,0.09547738693467336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.17721518987341767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14772727272727273,0.0,0.15584415584415584,0.0,0.0,0.0
722,0.2479338842975207,0.0,0.0,0.4,0.19597989949748745,0.16666666666666669,0.125,0.0,0.0,0.0,0.16666666666666669,0.0,0.2,0.25,0.17721518987341767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.21818181818181825,0.0,0.0,0.4,0.6964824120603015,0.5133333333333334,0.22,0.0,0.0,0.0,0.2933333333333334,0.0,0.6160000000000001,0.44,0.509620253164557,0.23,0.3066666666666667,0.1022222222222222,0.0,0.208,0.24,0.23,0.13,0.36,0.0,0.0,0.0,0.0
556,0.17454545454545456,0.0,0.0,0.4,0.21005025125628135,0.1466666666666667,0.22,0.0,0.0,0.0,0.2933333333333334,0.0,0.17600000000000002,0.0,0.22000000000000006,0.0,0.0,0.20444444444444446,0.0,0.208,0.24,0.23,0.13,0.0,0.13714285714285715,0.0,0.0,0.0
974,0.3232323232323233,0.0,0.0,0.4,0.3951237669830634,0.3395061728395062,0.2037037037037037,0.0,0.0,0.0,0.2716049382716049,0.0,0.40740740740740733,0.2716049382716049,0.13150492264416316,0.4259259259259259,0.1419753086419753,0.1893004115226337,0.0,0.19259259259259254,0.2222222222222222,0.10648148148148147,0.0,0.0,0.0,0.0,0.0,0.0
74,0.20202020202020204,0.0,0.0,0.6000000000000001,0.8455239158756745,0.5432098765432098,0.10185185185185183,0.0,0.0,0.0,0.0,0.21296296296296294,0.5703703703703704,0.5432098765432098,0.4667135489920299,0.6388888888888888,0.5679012345679012,0.3786008230452674,0.0,0.4814814814814814,0.2222222222222222,0.21296296296296294,0.3611111111111111,0.0,0.3809523809523809,0.0,0.0,0.0
157,0.28152492668621704,0.0,0.0,0.4,0.19435889123034525,0.05913978494623656,0.0,0.0,0.0,0.0,0.0,0.0,0.07096774193548387,0.0,0.16394446712944055,0.18548387096774194,0.24731182795698925,0.08243727598566307,0.3225806451612903,0.16774193548387095,0.0,0.09274193548387097,0.4193548387096774,0.29032258064516125,0.3317972350230414,0.0,0.25806451612903225,0.0
301,0.2727272727272728,0.0,0.0,0.4,0.0829145728643216,0.0763888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.0763888888888889,0.005801687763713079,0.0,0.0,0.10648148148148147,0.0,0.10833333333333332,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,0.1897233201581028,0.0,0.0,0.4,0.1369892942975748,0.15942028985507248,0.11956521739130435,0.0,0.0,0.0,0.15942028985507248,0.0,0.19130434782608696,0.07971014492753624,0.08778205833791965,0.0,0.16666666666666666,0.1111111111111111,0.43478260869565216,0.2260869565217391,0.0,0.125,0.2826086956521739,0.0,0.2981366459627329,0.0,0.0,0.3913043478260869
63,0.17454545454545456,0.0,0.0,0.4,0.4753768844221105,0.2933333333333334,0.33,0.0,0.72,0.0,0.2933333333333334,0.0,0.264,0.22,0.3648101265822785,0.0,0.7666666666666667,0.30666666666666664,0.0,0.10399999999999998,0.48,0.115,0.13,0.36,0.0,0.0,0.0,0.0
1679,0.18181818181818185,0.0,0.0,0.4,0.17504187604690116,0.2291666666666667,0.22916666666666666,0.0,0.0,0.0,0.1527777777777778,0.2395833333333333,0.18333333333333332,0.1527777777777778,0.005801687763713079,0.2395833333333333,0.1597222222222222,0.0,0.0,0.10833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,0.054545454545454564,0.0,0.0,0.4,0.2211055276381909,0.18333333333333332,0.1375,0.0,0.0,0.0,0.18333333333333332,0.0,0.22000000000000006,0.09166666666666667,0.11139240506329114,0.0,0.19166666666666668,0.25555555555555554,0.0,0.12999999999999998,0.0,0.14375000000000002,0.325,0.0,0.3428571428571429,0.9,0.0,0.0
609,0.16363636363636366,0.0,0.0,1.0,0.2211055276381909,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.18333333333333332,0.2018987341772152,0.28750000000000003,0.19166666666666668,0.12777777777777774,0.0,0.25999999999999995,0.30000000000000004,0.14375000000000002,0.1625,0.45,0.0,0.0,0.0,0.0
80,0.24242424242424246,0.0,0.0,0.4,0.968360320119114,0.6790123456790124,0.6111111111111109,0.0,0.0,0.4629629629629629,0.5432098765432098,0.4259259259259259,0.6518518518518519,0.6111111111111112,0.6007969995311766,0.6388888888888888,0.5679012345679012,0.5679012345679012,0.0,0.4814814814814814,0.2222222222222222,0.21296296296296294,0.4814814814814815,0.0,0.5079365079365079,0.0,0.0,1.0
94,0.2272727272727273,0.0,0.0,0.4,0.03685092127303182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763888888888889,0.08122362869198313,0.0,0.0,0.0,0.0,0.10833333333333332,0.5,0.0,0.13541666666666666,0.0,0.14285714285714285,0.0,0.0,0.0
875,0.30094043887147337,0.0,0.0,0.4,0.21157511696413095,0.18965517241379312,0.1896551724137931,0.0,0.0,0.0,0.25287356321839083,0.0,0.2275862068965517,0.25287356321839083,0.18005237887385414,0.0,0.13218390804597702,0.0,0.0,0.17931034482758618,0.0,0.09913793103448276,0.2241379310344828,0.0,0.2364532019704433,0.0,0.0,0.0
